Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled, Transport (tCO2e/yr) , Housing (tCO2e/yr) , Food (tCO2e/yr) , Goods (tCO2e/yr) , Services (tCO2e/yr) , Total Household Carbon Footprint (tCO2e/yr) , Households , Total County Carbon Footprint (tCO2e/yr) 
16882,OK,PAWNEE ,14039,36357,1,28342,18.7,17.6,7.8,4.5,4.8,53.4,7558,403671
20863,CO,TELLER ,8890,46268,1,28359,19.5,15,7.7,5.8,6.6,54.6,10651,581398
35143,MO,CAMDEN ,11027,23531,1,17412,12.2,15,6.9,4.7,5.2,44.1,31401,1385787
7929,TX,BLANCO ,11838,23032,1,28816,19.3,12.1,7.5,5,5.5,49.3,3789,186698
32323,KS,FORD ,12441,56792,1,22983,15.5,19.1,8.8,5,5.4,53.8,11601,624330
24464,MS,LAMAR ,14369,27442,1,27579,18.2,15.2,8.2,4.6,4.9,51,9622,490794
189732,LA,CALCASIEU ,13798,29931,1,23826,16.1,12.5,7.9,4.8,5.3,46.6,78631,3661473
21788,OK,ADAIR ,12819,30829,1,24501,16,16.1,8.2,4.2,4.3,48.8,8763,427736
77841,MO,CASS ,14508,45449,1,28550,19.5,20.2,8.1,5.7,6.4,59.8,29980,1792838
30901,TX,KENDALL ,13569,26375,1,35055,23.9,13.7,8.1,6.4,7.4,59.6,12255,730838
20562,MS,CLAY ,13051,36105,1,22100,14.7,15,7.9,4.3,4.6,46.4,8303,385644
48653,CO,GARFIELD ,9209,53983,1,29675,20.2,15.8,8,5.7,6.4,56,19298,1080419
32234,TX,CALDWELL ,12245,26650,1,28258,18.8,12.6,8.5,5,5.4,50.2,11852,594520
21903,KS,CHEROKEE ,12281,43607,1,23337,15.5,18,7.5,4.4,4.7,50.2,9716,488197
30735,NM,TAOS ,10613,31996,1,21071,14.1,11.9,7.1,4.2,4.5,41.7,17655,736354
54334,NE,HALL ,12808,62892,1,25223,17,18.6,7.7,4.9,5.3,53.5,21916,1172209
89859,LA,LIVINGSTON ,14089,26117,1,28875,19.2,12.4,8.4,5.1,5.5,50.7,35514,1800266
23566,UT,UINTAH ,10307,50916,1,27392,18.1,11.1,9.1,4.9,5.2,48.4,8439,408369
130676,TN,WILLIAMSON ,18464,47409,1,31213,22,20.3,8.3,7.2,8.4,66.2,49395,3268807
12505,VA,KING WILLIAM ,13136,24906,1,33193,22.3,14.3,8,5.6,6.3,56.5,5012,283320
30790,MS,COPIAH ,13435,31878,1,23391,15.4,14.7,8.2,4.3,4.5,47,12042,566079
8510,MS,FRANKLIN ,13418,28721,1,22200,14.6,14.1,7.9,4,4.2,44.8,4121,184516
15752,AL,CHOCTAW ,13004,26413,1,23362,15.3,14.1,7.4,4,4.3,45.2,7800,352425
6664,CO,SAN MIGUEL ,8073,38141,1,18307,13.3,13.3,6.6,5.5,6.3,45,5183,232992
9152,AR,DALLAS ,13042,35991,1,19844,13.3,12.4,7.5,4.2,4.5,41.9,4325,181289
14953,OK,KINGFISHER ,15380,41449,1,31633,20.9,19.3,7.9,4.9,5.3,58.2,6277,365087
17077,KS,OSAGE ,13637,44736,1,30905,20.5,19.6,7.7,5,5.5,58.2,7139,415753
9011,AZ,GREENLEE ,11221,39124,1,26693,17.8,12.9,8.2,4.9,5.4,49.3,3744,184427
6068,OK,GREER ,14606,46273,2,24231,16,18.8,6.8,4.1,4.4,50,2802,140175
249234,NE,LANCASTER ,12452,55203,2,23707,16.3,17.8,7.2,5.2,5.9,52.5,103896,5450156
19529,CO,ROUTT ,8147,46824,2,24136,17,14.2,7.3,5.9,6.8,51.2,11115,569082
41039,TX,WHARTON ,12691,28093,2,24942,16.6,13,8.2,4.6,4.9,47.4,16499,782107
19731,KS,DICKINSON ,13435,51382,2,26441,17.7,19.8,7.2,4.8,5.3,54.9,8878,487326
11871,OK,OKFUSKEE ,13598,36965,2,24289,15.9,17.3,7.6,4,4.2,49,5141,251755
49644,MS,WARREN ,12882,30924,2,22161,15,12,7.8,4.7,5.2,44.7,20789,930180
59625,CA,YUBA ,6567,39989,2,23062,15.3,7.9,8.7,4.6,4.8,41.2,22383,922056
50661,LA,VERNON ,12273,26435,2,23482,15.6,14.1,8.3,4.6,4.8,47.3,20341,962917
20033,MS,ATTALA ,12721,34683,2,21498,14.2,14.3,7.7,4.1,4.2,44.4,8824,391599
21656,TX,WALLER ,11544,26238,2,23789,15.9,12.1,8.2,4.7,5,45.8,7624,349110
12641,AR,BRADLEY ,12654,34718,2,20123,13.4,12.2,7.4,4.1,4.3,41.2,5931,244642
14466,GA,PIKE ,13958,28462,2,33596,22.3,15,8.4,5.4,5.9,57.1,5391,307676
6274,OK,ALFALFA ,15071,45373,2,27497,18.2,19.2,6.9,4.4,4.8,53.5,2934,157071
3342,NE,STANTON ,13827,57221,2,30673,20.2,20.1,7.7,4.7,5.1,57.8,1351,78031
156029,AL,TUSCALOOSA ,13100,31178,2,22638,15.3,14.4,7.2,4.7,5.1,46.8,67864,3176042
23427,MS,GRENADA ,13076,36823,2,21371,14.2,15,7.7,4.3,4.5,45.8,9916,454315
23882,MS,TATE ,13206,30195,2,27145,18.1,14.7,8.2,4.9,5.3,51.3,8760,449203
3885,TX,CONCHO ,12511,31666,2,24621,16.3,13.1,7.4,4.4,4.7,46,1426,65570
17021,KS,POTTAWATOMIE ,13852,49477,2,29466,19.7,20.1,8,5.1,5.6,58.5,6816,398813
183739,IL,PEORIA ,11210,65979,2,22159,15.3,18.1,7.3,5.1,5.7,51.5,78315,4030047
9117,KS,PRATT ,13578,56820,2,22296,15.2,20.4,7,4.7,5.2,52.4,4415,231553
12589,KS,JACKSON ,12371,39334,2,31594,21,18,7.9,5.1,5.6,57.6,5090,293380
94928,GA,LOWNDES ,12938,28682,2,22127,14.9,14.2,7.9,4.6,5,46.6,38898,1810900
12421,LA,MADISON ,13148,35879,2,18801,12.3,12.5,8.3,3.9,3.9,40.9,4269,174489
37247,MS,PANOLA ,12782,31892,2,22019,14.5,14.5,8.2,4.3,4.5,46,15370,707338
15340,KS,BOURBON ,12472,46331,2,23605,15.8,18.5,7.3,4.4,4.8,50.8,7088,360294
1763,TX,BRISCOE ,11694,42486,2,24896,16.5,15.1,7.4,4.3,4.6,47.9,982,47043
107131,GA,HOUSTON ,12460,31318,2,24612,16.9,14.1,8,5.4,6,50.3,43118,2167638
13387,CO,PARK ,8821,34076,2,28499,19.6,14,7.4,5.8,6.6,53.5,10051,537347
13694,AL,CRENSHAW ,13202,27254,2,23777,15.7,14.2,7.2,4.1,4.3,45.5,6814,309934
16835,AR,VAN BUREN ,12415,28436,2,22405,14.9,11.5,7.1,4.2,4.5,42.2,9282,391306
1606,TX,STONEWALL ,9871,23795,2,23971,15.9,10.9,6.9,4.1,4.4,42.2,872,36809
31356,TX,HOPKINS ,11024,28512,2,25504,16.9,11.9,7.7,4.6,4.9,46.1,13727,632565
48892,AL,RUSSELL ,12328,28993,2,20674,13.8,13.7,7.5,4.3,4.6,43.9,26673,1171923
105818,AL,ETOWAH ,13406,37244,2,24540,16.4,15.3,7.3,4.5,4.9,48.4,53420,2584172
35679,AR,BOONE ,12330,35109,2,23865,15.9,12,7.3,4.3,4.7,44.2,16198,715987
10353,GA,PULASKI ,13297,32478,2,23621,15.8,14.8,7.6,4.6,4.9,47.7,4193,199839
93719,KY,DAVIESS ,15358,47953,2,24388,16.5,17.5,7.4,4.8,5.3,51.6,39341,2028050
14034,IL,CLAY ,11629,45337,2,24986,16.6,17.1,7.2,4.4,4.7,50,6186,309362
37244,AL,TALLAPOOSA ,12925,29587,2,22678,15.2,14.2,7.3,4.5,4.9,46.1,18715,862017
25259,TX,GRIMES ,12153,26190,2,25617,17,12.5,8.1,4.6,5,47.1,10320,486542
8336,AR,NEWTON ,11551,24962,2,24341,16,10.8,7.3,4.1,4.3,42.5,4130,175652
12639,TX,NEWTON ,11538,25220,2,23699,15.6,11.7,7.7,4.3,4.5,43.9,6293,276145
135943,AL,SHELBY ,14782,33098,2,29332,20.2,16,7.8,6.1,6.9,57,263380,15016398
16264,CO,CHAFFEE ,7671,51869,2,22967,15.6,14,6.8,4.6,5.2,46.3,8408,388900
41501,MS,PIKE ,13186,30806,2,21462,14.2,14.5,7.7,4.1,4.3,44.8,17915,802736
89232,MO,BUCHANAN ,12337,53064,2,21029,14.4,18.7,7.3,4.7,5.2,50.3,37834,1904410
58472,TX,BASTROP ,12589,25631,2,30898,20.7,12.8,8.3,5.4,6,53.2,22764,1210583
34324,NE,LINCOLN ,12207,58982,2,27005,18.1,17.9,7.2,4.8,5.3,53.3,15321,816653
16106,TX,BURLESON ,12283,26120,2,25121,16.7,12.6,7.7,4.6,5,46.6,8012,373082
10585,OK,NOWATA ,13309,40154,2,27316,18,17.3,7.5,4.3,4.7,51.7,4719,244109
24408,MO,AUDRAIN ,12162,44265,2,22219,15,17.6,7.1,4.5,4.9,49,10503,514876
8878,GA,BACON ,13317,28607,2,22375,14.8,14.5,7.8,4.2,4.5,45.7,3926,179443
10192,MS,WILKINSON ,13298,29053,2,18457,12.1,13.5,7.9,3.8,3.9,41.2,4984,205162
33876,MS,ALCORN ,13576,32434,2,23859,15.9,15.1,7.2,4.3,4.7,47.2,15461,729431
6720,IL,GALLATIN ,12648,45827,2,25700,16.9,18.1,7,4.2,4.5,50.7,3237,164083
54764,AZ,GILA ,10328,33107,2,21443,14.4,11.8,8,4.5,4.8,43.5,29373,1277140
17059,AL,LAMAR ,13585,30377,2,25077,16.5,14.8,7.3,4.2,4.5,47.4,8070,382320
43499,MO,SCOTT ,12431,38091,2,21802,14.6,17.4,7.6,4.5,4.8,48.9,18297,894497
7726,MO,HICKORY ,10298,24207,2,20187,13.5,14.3,6.8,3.9,4.2,42.7,5338,228071
71825,AL,ELMORE ,14403,30115,2,28431,19.1,15.5,8,5.2,5.7,53.5,28023,1499028
16240,IL,RICHLAND ,11951,51569,2,24361,16.2,17.8,7.2,4.4,4.8,50.6,7513,379971
9006,WY,PLATTE ,9557,51954,2,25269,16.9,16,7.2,4.6,5.1,49.9,4798,239228
79929,TX,LIBERTY ,12211,26194,2,28225,18.8,12.1,8.5,5.1,5.5,49.9,30203,1508206
33345,GA,SUMTER ,12212,29332,2,20748,13.9,13.7,7.9,4.5,4.8,44.8,13765,617075
12637,TX,TERRY ,11576,41326,2,24962,16.4,15.8,8.3,4.4,4.6,49.4,5034,248546
11799,AR,LEE ,13243,40411,2,19657,12.9,12.9,7.9,3.9,4,41.7,4438,185097
930767,GA,FULTON ,13623,41037,2,20057,14.4,15.5,7.5,5.8,6.6,49.9,505619,25224644
17747,GA,PUTNAM ,12437,29253,2,22381,15.2,13.8,7.6,4.8,5.3,46.7,9629,449285
41851,AL,AUTAUGA ,15239,33471,2,27023,18.2,16.3,8.1,5.2,5.7,53.6,16925,906433
33496,WY,CAMPBELL ,10247,49850,2,32912,22.2,16.6,8.2,5.7,6.4,59.2,13187,780405
158844,IA,SCOTT ,11345,64062,2,23353,16.1,17.4,7.5,5.3,5.9,52.2,65732,3428295
18566,KS,JEFFERSON ,13621,40936,2,32509,21.7,19.3,8,5.4,6,60.5,7516,454860
16104,TX,LLANO ,10695,22679,2,23206,15.7,11.3,6.5,4.6,5.1,43.2,10575,456867
5549,FL,LAFAYETTE ,11801,19554,2,22250,14.8,11.8,8.1,4.5,4.8,44,1878,82710
1045449,MO,SAINT LOUIS ,14195,57366,2,22241,15.8,20.5,7.5,5.9,6.8,56.6,607993,34391146
5961,GA,CRAWFORD ,13553,30355,2,27270,18.1,14.8,8.2,4.7,5,50.8,2366,120149
202888,CA,BUTTE ,6509,41843,2,22850,15.3,8,7.5,4.5,4.9,40.3,85714,3452327
34887,KS,GEARY ,11095,45498,2,19323,13,17,8.7,4.6,4.9,48.2,12898,621755
5262,OK,DEWEY ,13606,35364,2,30443,19.9,17.3,7.1,4.3,4.7,53.4,2656,141784
56045,AR,LONOKE ,14485,33628,2,27377,18.4,13.2,8.1,5.2,5.7,50.5,21906,1107207
7648,CO,HUERFANO ,7135,44215,2,20239,13.5,12.9,6.8,4,4.3,41.6,4453,185065
265595,IL,MCHENRY ,14407,76270,2,30411,21.2,20.3,8.7,6.8,7.8,64.9,95752,6209751
7846,TX,YOAKUM ,11237,34512,2,26015,17.1,15,8.9,4.7,4.9,50.6,3157,159596
23904,KS,SUMNER ,14337,50136,2,28651,19.2,20.7,7.8,5.1,5.6,58.3,10022,584385
27144,IL,SALINE ,11422,46860,2,22584,15.1,17,7,4.3,4.6,47.9,12606,603553
23151,TX,LAVACA ,13009,27857,2,24425,16.2,13.2,7.4,4.3,4.7,45.8,11398,522265
7835,MO,DADE ,12352,32703,2,26012,17.1,17,7.3,4.3,4.6,50.4,3702,186406
11150,OK,PUSHMATAHA ,12974,27267,2,23876,15.6,16,7.2,3.9,4.1,46.8,5461,255621
24300,MO,HENRY ,11849,37205,2,23885,16,16.8,7.2,4.4,4.8,49.2,11366,558816
6641,MO,CARTER ,10598,24827,2,22468,14.8,14.7,7.5,4,4.3,45.2,3345,151210
90917,TN,MADISON ,14635,41593,2,22277,15.2,16.6,7.5,4.8,5.3,49.4,37913,1872334
12160,OK,BLAINE ,14082,43845,2,25948,17,18.2,7.5,4.2,4.5,51.5,5320,274120
40371,IL,FRANKLIN ,11068,43792,2,23015,15.3,16.4,7.1,4.3,4.6,47.7,18706,891823
26924,AR,PHILLIPS ,13954,45404,2,17504,11.6,13.6,8.1,4,4.1,41.2,11087,457262
128225,HI,MAUI ,5168,23924,2,21748,15.2,8.1,8.8,5.8,6.4,44.3,56529,2504491
14717,NM,TORRANCE ,12222,33470,2,26090,17.1,13.2,8.2,4.4,4.7,47.6,6359,302639
7502,WV,CALHOUN ,15847,61433,2,22453,14.7,20.2,7.4,3.9,4.1,50.2,3794,190502
73062,MO,PLATTE ,14266,48918,2,26297,18.4,20.4,7.5,6.1,7,59.5,247517,14718356
19307,OK,MCINTOSH ,12362,31097,2,20237,13.5,15.7,7,4.1,4.3,44.7,12896,575879
20503,LA,FRANKLIN ,13338,29089,2,23396,15.2,12.2,7.9,4,4.1,43.5,8313,361218
23380,MS,TIPPAH ,14000,36314,2,25951,17.1,15.7,7.6,4.4,4.7,49.4,9991,493372
7787,TX,CLAY ,12383,33864,2,30009,19.8,13.2,7.4,4.6,5.1,50.2,3709,186050
18195,GA,MONROE ,13512,32185,2,28519,19.1,14.9,8.2,5.1,5.6,52.9,7021,371073
87800,WV,WOOD ,14621,64355,2,21629,14.7,19.4,7.2,4.6,5,50.9,39743,2021581
30304,OK,MCCLAIN ,15294,33293,2,33328,22,18.6,8.1,5.1,5.6,59.4,12053,716004
26745,LA,PLAQUEMINES ,15249,29595,2,24326,16.4,13.3,8.6,5,5.4,48.7,10437,508632
38815,MO,PETTIS ,12351,44097,2,22166,14.9,17.7,7.5,4.5,4.9,49.5,16712,827541
12399,MS,SMITH ,13409,27822,2,24962,16.4,14.5,8.1,4.4,4.6,48,5188,248837
8136,AR,CLEVELAND ,14099,29665,2,26057,17.3,12.7,7.8,4.6,5,47.4,3645,172610
236091,GA,CHATHAM ,13533,34748,2,20271,14,15,7.5,5,5.5,47,101226,4757776
28250,AL,CLARKE ,14583,30461,2,22648,15,15.5,7.8,4.3,4.6,47.3,12765,603691
14723,AR,MARION ,11980,29176,2,23280,15.4,11.4,7.1,4.1,4.4,42.5,7366,312708
19996,GA,DODGE ,12814,28721,2,23289,15.4,14,7.4,4.3,4.6,45.8,8526,390147
39357,MS,MARSHALL ,13064,30582,2,24547,16.2,14.6,8.2,4.4,4.7,48.1,14941,719329
6774,TX,ARCHER ,12720,30893,2,29802,19.6,13.3,7.9,4.7,5.1,50.6,2984,150878
87182,GA,FLOYD ,12903,40882,2,24012,16.1,15.2,7.6,4.7,5.1,48.8,35300,1722543
53144,IL,COLES ,10516,49911,2,22147,14.9,16.3,6.9,4.4,4.9,47.4,22683,1076169
8166,CO,KIT CARSON ,9822,57444,2,26850,17.8,16.8,7.5,4.6,5,51.8,3503,181327
150468,IL,ROCK ISLAND ,11387,71674,2,21894,15.1,17.8,7.2,5,5.5,50.5,64892,3280289
7812,NE,CLAY ,14339,60524,2,30640,20.2,20.1,7.6,4.7,5.1,57.6,3379,194698
12614,MS,NOXUBEE ,12654,31297,2,19661,12.9,14.3,8.3,4,4.1,43.6,5264,229744
15314,LA,CLAIBORNE ,13520,34003,2,21192,14,12.7,7.5,4.1,4.3,42.6,7097,302631
34321,KS,HARVEY ,12985,48892,2,25390,17.2,19.2,7.5,5.1,5.7,54.8,13934,763463
12307,MO,MADISON ,11293,31516,2,22516,14.9,15.8,7.4,4.1,4.4,46.6,5847,272561
22825,TN,HARDIN ,14329,35788,2,22965,15.2,15.9,7.2,4.2,4.5,47.1,11554,543891
42745,UT,BOX ELDER ,13430,76988,2,31216,20.8,14.6,9.7,5.6,6.1,56.8,14209,806913
10398,MO,DOUGLAS ,11097,28416,2,24107,15.9,15.4,7.3,4.1,4.4,47.2,4761,224698
261388,KY,FAYETTE ,12920,44254,2,20861,14.5,15.4,6.9,5.1,5.7,47.6,116497,5548470
127099,FL,MARTIN ,11085,13823,2,19238,13.6,10.9,6.8,5.2,5.9,42.3,69259,2932230
11909,MS,WEBSTER ,13199,31115,2,25878,17,14.8,7.7,4.3,4.5,48.3,5043,243452
411162,IL,KANE ,13362,78351,2,27462,19.2,19.5,9,6.5,7.4,61.5,158140,9723596
20414,AR,POLK ,12706,30717,2,22879,15.1,11.9,7.5,4.1,4.3,42.8,9359,400837
48933,MS,PEARL RIVER ,13428,25999,2,25607,17,14.4,7.9,4.5,4.8,48.6,20665,1004877
29528,AR,HOT SPRING ,14006,35041,2,24755,16.5,12.9,7.5,4.5,4.8,46.2,13030,602272
19411,NM,LINCOLN ,9911,36130,2,19660,13.5,11.8,7.1,4.6,5.1,42,15298,642360
9788,TN,LEWIS ,14465,36587,2,26505,17.5,16.1,7.6,4.4,4.7,50.2,4193,210689
22420,MO,CLINTON ,13558,43916,2,26150,17.6,19,7.6,5,5.5,54.6,8396,458782
47490,KY,HOPKINS ,14470,41489,2,23699,15.8,16.4,7.3,4.4,4.8,48.7,21115,1028826
17641,NM,SOCORRO ,9959,29521,2,21852,14.3,11.3,8,4,4.2,41.8,7617,318326
60603,GA,LIBERTY ,12279,27971,2,21363,14.3,13.6,8.9,4.8,5,46.6,23169,1080077
12784,FL,CALHOUN ,10884,18817,2,20876,13.9,12,7.6,4.2,4.4,42.1,8400,353340
21971,MO,TEXAS ,10821,25439,2,23315,15.3,15,7.2,4,4.3,45.8,10329,473148
102588,GA,DOUGHERTY ,12296,30808,2,19255,13.1,13.8,7.8,4.5,4.9,44.1,42129,1859800
18604,GA,BEN HILL ,12421,28947,2,20653,13.8,13.8,7.7,4.2,4.5,44,8080,355592
16333,TX,KARNES ,12288,28140,2,23869,15.7,12.7,8,4.3,4.5,45.2,5910,267298
12217,AL,LOWNDES ,13513,27473,2,21147,13.9,14.5,8.2,4,4.1,44.7,5322,237817
129931,IL,TAZEWELL ,12053,66639,2,25927,17.8,19,7.5,5.4,6.1,55.7,53542,2982276
35423,FL,WALTON ,11055,16974,2,20930,14.2,12,7.2,4.5,4.9,42.7,19996,853727
20011,GA,HARRIS ,13598,27371,2,29207,19.7,14.7,8,5.3,5.9,53.6,8730,467716
23306,MS,UNION ,14491,38469,2,25965,17.2,16.2,7.7,4.6,4.9,50.7,9749,494054
23383,OK,SEMINOLE ,13415,38854,2,23811,15.6,17.3,7.6,4.1,4.3,48.9,10472,512381
57267,LA,ACADIA ,14869,29650,2,23668,15.5,13.1,8.2,4.2,4.4,45.5,22643,1029153
26185,GA,WAYNE ,13014,29057,2,23723,15.9,14.3,7.8,4.6,5,47.6,10650,507360
5878,GA,LONG ,13891,28275,2,25710,17,14.8,8.4,4.6,4.9,49.6,2453,121723
185987,FL,SAINT LUCIE ,11353,14696,2,19940,13.7,11.2,7.6,4.8,5.2,42.4,84098,3566038
39558,MO,CALLAWAY ,12264,34200,2,25184,17,17,7.7,5,5.5,52.2,15566,812231
20583,MO,WRIGHT ,11345,28872,2,24033,15.7,15.7,7.6,4.1,4.3,47.4,9107,431443
66311,KY,MCCRACKEN ,14485,44362,2,21345,14.5,16.6,6.9,4.6,5.1,47.7,30753,1467546
20969,TX,GILLESPIE ,11722,27116,2,26965,18.1,12.3,7.2,4.8,5.4,47.8,10118,483744
16283,MO,DALLAS ,11029,24439,2,24463,16.1,15.1,7.7,4.2,4.5,47.6,7288,347012
20495,TX,TYLER ,11180,24542,2,23771,15.8,10.6,7.5,4.3,4.7,42.9,10258,439556
14780,TN,WAYNE ,13584,31034,2,25369,16.6,15.1,7.3,4.1,4.3,47.5,5843,277320
120033,AL,CALHOUN ,13274,33695,2,23952,16,15,7.3,4.5,4.9,47.7,54608,2606152
19403,AR,CROSS ,13346,35030,2,22463,15,12.6,7.8,4.4,4.7,44.4,7976,354498
30592,KS,MCPHERSON ,13742,54028,2,26325,17.8,20.4,7.5,5.1,5.7,56.6,12402,701502
12548,IL,MENARD ,13021,54665,2,30388,20.5,19.2,7.6,5.5,6.2,58.9,5305,312595
33393,CO,MONTROSE ,8902,48552,2,25720,17.2,15.1,7.6,4.8,5.2,49.9,14487,723289
32285,OK,CADDO ,14164,37926,2,24524,16.2,17.8,7.9,4.3,4.5,50.7,14493,734344
5952,CO,LINCOLN ,10144,55253,2,26588,17.7,16.9,7.4,4.6,5,51.5,2310,118976
250724,FL,COLLIER ,11614,13879,2,19272,13.8,11.2,7.6,5.6,6.3,44.5,143018,6357155
11439,LA,CALDWELL ,13347,27238,2,23886,15.8,12,7.5,4.2,4.5,43.9,5571,244787
1136387,FL,PALM BEACH ,11459,13872,2,18877,13.5,11.1,7.2,5.4,6.2,43.4,559119,24271556
3543,NM,CATRON ,9254,25498,2,22270,14.7,10.5,6.7,3.9,4.2,40.1,2548,102255
20187,AR,ARKANSAS ,13880,38506,2,21656,14.6,13.2,7.2,4.4,4.8,44.2,9478,418465
10678,KS,CLOUD ,12729,55363,2,23626,15.8,19.4,7,4.4,4.9,51.5,5054,260152
10387,WV,RITCHIE ,15788,65412,2,23160,15.4,20.4,7.4,4.2,4.5,51.9,5512,285889
35804,WY,FREMONT ,9131,50317,2,24788,16.5,13.7,7.8,4.6,4.9,47.5,15541,738509
16602,MO,COOPER ,12588,42299,2,24789,16.7,17.9,7.4,4.7,5.2,51.9,6623,343812
16453,GA,PIERCE ,13367,26911,2,25077,16.6,14.4,7.8,4.4,4.7,47.9,7093,340010
21828,AL,BIBB ,13834,30885,2,27042,17.8,15,7.9,4.5,4.8,50.1,8801,441258
23995,AR,CLEBURNE ,12839,30337,2,22075,14.9,12,7,4.4,4.8,43.1,13718,591286
2837,MT,FALLON ,10479,58100,2,28230,18.6,16.3,7.3,4.4,4.7,51.3,1410,72309
7535,IA,MONROE ,10227,50333,2,27862,18.5,16.1,7.3,4.6,5,51.5,3411,175723
4615,NE,VALLEY ,12310,54049,2,25820,17,17.7,7,4.2,4.5,50.4,2257,113841
7538,TN,PERRY ,13980,32052,2,24101,15.9,15.3,7.4,4.3,4.6,47.5,4077,193780
10454,GA,EVANS ,10906,28421,2,20224,13.4,12.7,7.9,4.2,4.4,42.5,4356,185146
3891,KY,HICKMAN ,14731,36971,3,24381,16.2,16.3,7,4.3,4.7,48.6,1787,86795
43137,NE,BUFFALO ,12634,53853,3,28075,18.7,17.9,7.5,4.8,5.3,54.2,17215,933903
40840,IL,GRUNDY ,12377,65156,3,30572,20.9,17.7,7.9,5.9,6.7,59.2,16068,950522
464395,NE,DOUGLAS ,13321,66113,3,22485,15.7,19.3,7.5,5.4,6.1,54.1,199923,10822656
30485,AL,PIKE ,11983,27026,3,21059,14,13.3,7.2,4.1,4.3,42.8,14435,618425
173682,CO,WELD ,9869,59641,3,27176,18.4,16.9,8.4,5.3,5.9,54.9,94813,5203861
2950,GA,GLASCOCK ,12560,29372,3,26485,17.4,14,7.4,4.3,4.6,47.6,1382,65829
7377,TX,RAINS ,11188,25528,3,26775,17.7,11.8,7.5,4.5,4.9,46.5,3659,170264
35248,CA,AMADOR ,7062,32277,3,27349,18.6,7.7,7.3,5.2,5.9,44.6,15061,672295
7263,OK,MAJOR ,15054,40277,3,29689,19.5,18.9,7.3,4.4,4.8,55,3387,186134
35306,AL,CHILTON ,13111,27976,3,26411,17.5,14.3,7.7,4.6,4.9,48.9,15978,781947
57197,IL,WILLIAMSON ,10747,38889,3,22382,15.1,15.8,7,4.5,4.9,47.2,25969,1226830
5845,KS,MORRIS ,12956,48144,3,23407,15.7,19.1,7.1,4.5,4.9,51.3,3125,160387
33187,AL,FRANKLIN ,13396,34542,3,25444,16.7,15.1,7.6,4.2,4.5,48.1,14649,705338
2392,TX,MENARD ,10309,25671,3,20772,13.7,11.1,7,3.9,4.2,40,1691,67559
5541,KS,REPUBLIC ,13200,54061,3,23684,15.8,19.8,6.6,4.3,4.7,51.3,2970,152289
6359,KS,WABAUNSEE ,13317,41316,3,31811,21.2,19.1,7.7,5.1,5.7,58.8,2837,166684
274533,CA,SANTA CRUZ ,6266,41800,3,25873,18,7.9,8.6,6.1,6.9,47.6,119876,5701156
39961,IA,WEBSTER ,10639,63982,3,23780,16.1,16.7,7.1,4.7,5.2,49.7,16875,839039
1584,NV,EUREKA ,6497,25286,3,24486,16.7,7.4,7.4,5.1,5.7,42.4,984,41705
20080,MO,RAY ,13152,39919,3,29343,19.7,18.3,7.9,5.2,5.7,56.7,8075,457775
38028,AL,BLOUNT ,13262,28419,3,29661,19.6,14.7,7.8,4.7,5.1,51.9,15850,822979
114629,AZ,COCONINO ,8883,40743,3,22495,15.2,10.8,8.8,5.1,5.4,45.3,50252,2275310
5302263,IL,COOK ,10748,75640,3,18251,13,16.8,8.3,5.6,6.2,49.9,2070319,103328688
39231,GA,BALDWIN ,12370,33266,3,21146,14.4,14.1,7.5,4.7,5.2,45.9,17031,781758
7812,CO,LAKE ,7835,59269,3,25331,17.1,14.7,7.8,4.9,5.4,49.8,3913,195005
24373,LA,ALLEN ,14535,30987,3,24103,15.9,15.3,7.8,4.3,4.6,47.9,8714,417415
7761,GA,IRWIN ,12857,27350,3,22270,14.7,14.1,7.9,4.3,4.5,45.6,3241,147752
18064,TN,HUMPHREYS ,15307,40130,3,27009,18.1,17,7.3,4.8,5.3,52.4,8540,447641
16534,TX,FREESTONE ,11644,28251,3,25328,16.9,12.3,7.4,4.5,4.9,46.1,7436,342711
1638,CO,KIOWA ,10076,50323,3,27477,18.1,16.5,7.2,4.3,4.7,50.8,829,42113
8699,NE,KEITH ,11559,48608,3,25848,17.2,17.8,7.2,4.5,4.9,51.6,4610,238089
41843,IA,DES MOINES ,10905,58808,3,22917,15.6,16.6,7.2,4.8,5.3,49.5,18410,911383
11583,NE,RED WILLOW ,12061,57100,3,26384,17.5,17.6,7.1,4.5,4.9,51.6,5428,280112
9830,AL,PERRY ,13880,32364,3,18226,11.9,15.1,8,3.7,3.8,42.5,4266,181153
3111,KS,ELK ,12973,50435,3,23643,15.7,19.3,6.7,4.1,4.5,50.2,1759,88384
12889,MT,GLACIER ,8236,52500,3,21669,14.3,10,9.2,4.4,4.6,42.5,5047,214436
21183,OR,CURRY ,8683,21636,3,21525,14.5,8.3,6.6,4.3,4.7,38.4,11429,438522
36816,FL,HENDRY ,11771,14956,3,21668,14.5,11.3,9.3,4.8,5,44.9,13230,594481
59701,AL,SAINT CLAIR ,13970,30777,3,28695,19.1,15.1,7.8,4.9,5.4,52.4,25077,1313111
36104,LA,BEAUREGARD ,13667,26850,3,26078,17.3,12.2,7.9,4.6,5,47,15752,741041
